REGNE;PHYLUM;CLASSE;ORDRE;FAMILLE;SOUS_FAMILLE;TRIBU;CD_NOM;CD_TAXSUP;CD_SUP;CD_REF;RANG;LB_NOM;LB_AUTEUR;NOM_COMPLET;NOM_COMPLET_HTML;NOM_VALIDE;NOM_VERN;NOM_VERN_ENG;HABITAT;FR;GF;MAR;GUA;SM;SB;SPM;MAY;EPA;REU;SA;TA;NC;WF;PF;CLI;GROUP1_INPN;GROUP2_INPN;URL
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;407176;0;0;814855;ES;Prosopis picta;Smith, 1853;Prosopis picta Smith, 1853;<i>Prosopis picta</i> Smith, 1853;Hylaeus pictus (Smith, 1853);;;3;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/814855
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239769;0;0;239791;ES;Hylaeus conformis;auct. non Förster, 1871;Hylaeus conformis auct. non Förster, 1871;<i>Hylaeus conformis</i> auct. non Förster, 1871;Hylaeus pilosulus (Pérez, 1903);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239791
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239787;0;0;239791;ES;Hylaeus niveofasciatus;(Dours, 1872);Hylaeus niveofasciatus (Dours, 1872);<i>Hylaeus niveofasciatus</i> (Dours, 1872);Hylaeus pilosulus (Pérez, 1903);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239791
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239791;208078;883999;239791;ES;Hylaeus pilosulus;(Pérez, 1903);Hylaeus pilosulus (Pérez, 1903);<i>Hylaeus pilosulus</i> (Pérez, 1903);Hylaeus pilosulus (Pérez, 1903);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239791
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;407175;0;0;239791;ES;Prosopis niveofasciatus;Dours, 1872;Prosopis niveofasciatus Dours, 1872;<i>Prosopis niveofasciatus</i> Dours, 1872;Hylaeus pilosulus (Pérez, 1903);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239791
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000047;0;0;239791;ES;Prosopis pilosula;Pérez, 1903;Prosopis pilosula Pérez, 1903;<i>Prosopis pilosula</i> Pérez, 1903;Hylaeus pilosulus (Pérez, 1903);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239791
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239792;208078;884005;239792;ES;Hylaeus punctatus;(Brullé, 1832);Hylaeus punctatus (Brullé, 1832);<i>Hylaeus punctatus</i> (Brullé, 1832);Hylaeus punctatus (Brullé, 1832);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239792
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000636;0;0;239792;ES;Hylaeus subquadratus;Förster, 1871;Hylaeus subquadratus Förster, 1871;<i>Hylaeus subquadratus</i> Förster, 1871;Hylaeus punctatus (Brullé, 1832);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239792
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000112;0;0;239792;ES;Prosopis punctata;Brullé, 1832;Prosopis punctata Brullé, 1832;<i>Prosopis punctata</i> Brullé, 1832;Hylaeus punctatus (Brullé, 1832);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239792
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239793;208078;884001;239793;ES;Hylaeus punctulatissimus;Smith, 1843;Hylaeus punctulatissimus Smith, 1843;<i>Hylaeus punctulatissimus</i> Smith, 1843;Hylaeus punctulatissimus Smith, 1843;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239793
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1012804;208078;884006;1012804;ES;Hylaeus purpurissatus;(Vachal, 1895);Hylaeus purpurissatus (Vachal, 1895);<i>Hylaeus purpurissatus</i> (Vachal, 1895);Hylaeus purpurissatus (Vachal, 1895);;;3;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/1012804
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239800;0;0;1012804;ES;Hylaeus stigmorhinus;(Pérez, 1895);Hylaeus stigmorhinus (Pérez, 1895);<i>Hylaeus stigmorhinus</i> (Pérez, 1895);Hylaeus purpurissatus (Vachal, 1895);;;3;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/1012804
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;815776;0;0;1012804;ES;Prosopis stigmorhina;Pérez, 1895;Prosopis stigmorhina Pérez, 1895;<i>Prosopis stigmorhina</i> Pérez, 1895;Hylaeus purpurissatus (Vachal, 1895);;;3;P;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/1012804
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;318082;208078;884000;318082;ES;Hylaeus pyrenaicus;Dathe, 2000;Hylaeus pyrenaicus Dathe, 2000;<i>Hylaeus pyrenaicus</i> Dathe, 2000;Hylaeus pyrenaicus Dathe, 2000;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/318082
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239794;208078;884002;239794;ES;Hylaeus rinki;(Gorski, 1852);Hylaeus rinki (Gorski, 1852);<i>Hylaeus rinki</i> (Gorski, 1852);Hylaeus rinki (Gorski, 1852);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239794
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000098;0;0;239794;ES;Prosopis rinki;Gorski, 1852;Prosopis rinki Gorski, 1852;<i>Prosopis rinki</i> Gorski, 1852;Hylaeus rinki (Gorski, 1852);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239794
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239795;208078;883999;239795;ES;Hylaeus rubicola;Saunders, 1850;Hylaeus rubicola Saunders, 1850;<i>Hylaeus rubicola</i> Saunders, 1850;Hylaeus rubicola Saunders, 1850;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239795
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000052;0;0;239795;ES;Prosopis decolorata;Pérez, 1903;Prosopis decolorata Pérez, 1903;<i>Prosopis decolorata</i> Pérez, 1903;Hylaeus rubicola Saunders, 1850;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239795
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;407183;0;0;239795;ES;Prosopis rectanguliceps;Alfken, 1928;Prosopis rectanguliceps Alfken, 1928;<i>Prosopis rectanguliceps</i> Alfken, 1928;Hylaeus rubicola Saunders, 1850;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239795
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000093;0;0;239795;ES;Prosopis rubicola;(Saunders, 1850);Prosopis rubicola (Saunders, 1850);<i>Prosopis rubicola</i> (Saunders, 1850);Hylaeus rubicola Saunders, 1850;;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239795
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;239796;208078;884006;239796;ES;Hylaeus signatus;(Panzer, 1797);Hylaeus signatus (Panzer, 1797);<i>Hylaeus signatus</i> (Panzer, 1797);Hylaeus signatus (Panzer, 1797);;Large Yellow-faced Bee;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239796
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000107;0;0;239796;ES;Sphex signata;Panzer, 1797;Sphex signata Panzer, 1797;<i>Sphex signata</i> Panzer, 1797;Hylaeus signatus (Panzer, 1797);;Large Yellow-faced Bee;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/239796
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;816782;0;0;939271;ES;Hylaeus bipunctatus;(Fabricius, 1798);Hylaeus bipunctatus (Fabricius, 1798);<i>Hylaeus bipunctatus</i> (Fabricius, 1798);Hylaeus signatus signatus (Panzer, 1797);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/939271
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;939271;239796;239796;939271;SSES;Hylaeus signatus signatus;(Panzer, 1797);Hylaeus signatus signatus (Panzer, 1797);<i>Hylaeus signatus signatus</i> (Panzer, 1797);Hylaeus signatus signatus (Panzer, 1797);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/939271
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000105;0;0;939271;ES;Mellinus bipunctatus;Fabricius, 1798;Mellinus bipunctatus Fabricius, 1798;<i>Mellinus bipunctatus</i> Fabricius, 1798;Hylaeus signatus signatus (Panzer, 1797);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/939271
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000106;0;0;939271;ES;Prosopis bipunctata;(Fabricius, 1798);Prosopis bipunctata (Fabricius, 1798);<i>Prosopis bipunctata</i> (Fabricius, 1798);Hylaeus signatus signatus (Panzer, 1797);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/939271
Animalia;Arthropoda;Insecta;Hymenoptera;Colletidae;Hylaeinae;;1000104;0;0;939271;ES;Vespa pratensis;Geoffroy in Fourcroy, 1785 non Miller, 1759;Vespa pratensis Geoffroy in Fourcroy, 1785 non Miller, 1759;<i>Vespa pratensis</i> Geoffroy <i>in</i> Fourcroy, 1785 non Miller, 1759;Hylaeus signatus signatus (Panzer, 1797);;;3;P;;;;;;;;;;;;;;;;Arthropodes;Insectes;https://inpn.mnhn.fr/espece/cd_nom/939271
