species,genus,family,subfamily,tribe
Osmia signata,Osmia,Megachilidae,Megachilinae,Osmiini
Osmia spinulosa,Osmia,Megachilidae,Megachilinae,Osmiini
Osmia submicans,Osmia,Megachilidae,Megachilinae,Osmiini
Osmia tricornis,Osmia,Megachilidae,Megachilinae,Osmiini
Osmia versicolor,Osmia,Megachilidae,Megachilinae,Osmiini
Osmia xanthomelana,Osmia,Megachilidae,Megachilinae,Osmiini
Panurginus montanus,Panurginus,Andrenidae,Panurginae,Panurgini
Panurginus montanus,Panurginus,Andrenidae,Panurginae,Panurgini
Panurgus banksianus,Panurgus,Andrenidae,Panurginae,Panurgini
Panurgus calcaratus,Panurgus,Andrenidae,Panurginae,Panurgini
Panurgus canescens,Panurgus,Andrenidae,Panurginae,Panurgini
Panurgus corsicus,Panurgus,Andrenidae,Panurginae,Panurgini
Panurgus dentipes,Panurgus,Andrenidae,Panurginae,Panurgini
Pasites maculatus,Pasites,Apidae,Nomadinae,Ammobatini
Pseudoanthidium melanurum,Pseudoanthidium,Megachilidae,Megachilinae,Anthidiini
Pseudoanthidium nanum,Pseudoanthidium,Megachilidae,Megachilinae,Anthidiini
Pseudoanthidium reticulatum,Pseudoanthidium,Megachilidae,Megachilinae,Anthidiini
Pseudoanthidium scapulare,Pseudoanthidium,Megachilidae,Megachilinae,Anthidiini
Rhodanthidium infuscatum,Rhodanthidium,Megachilidae,Megachilinae,Anthidiini
Rhodanthidium septemdentatum,Rhodanthidium,Megachilidae,Megachilinae,Anthidiini
Rhodanthidium siculum,Rhodanthidium,Megachilidae,Megachilinae,Anthidiini
Rhodanthidium sticticum,Rhodanthidium,Megachilidae,Megachilinae,Anthidiini
Rhophitoides canus,Rhophitoides,Halictidae,Rophitinae,
Rophites algirus,Rophites,Halictidae,Rophitinae,
Rophites quinquespinosus,Rophites,Halictidae,Rophitinae,
Seladonia gemmea,Seladonia,Halictidae,Halictinae,Halictini
Seladonia kessleri,Seladonia,Halictidae,Halictinae,Halictini
Seladonia leucahenea arenosa,Seladonia,Halictidae,Halictinae,Halictini
Seladonia seladonia,Seladonia,Halictidae,Halictinae,Halictini
Seladonia smaragdula,Seladonia,Halictidae,Halictinae,Halictini
Seladonia subaurata,Seladonia,Halictidae,Halictinae,Halictini
Seladonia subaurata corsa,Seladonia,Halictidae,Halictinae,Halictini
Seladonia submediterranea,Seladonia,Halictidae,Halictinae,Halictini
Seladonia tumulorum,Seladonia,Halictidae,Halictinae,Halictini
Sphecodes albilabris,Sphecodes,Halictidae,Halictinae,Halictini
Sphecodes ephippius,Sphecodes,Halictidae,Halictinae,Halictini
Sphecodes gibbus,Sphecodes,Halictidae,Halictinae,Halictini
Sphecodes majalis,Sphecodes,Halictidae,Halictinae,Halictini
Sphecodes monilicornis,Sphecodes,Halictidae,Halictinae,Halictini
Sphecodes niger,Sphecodes,Halictidae,Halictinae,Halictini
Sphecodes olivieri,Sphecodes,Halictidae,Halictinae,Halictini
Sphecodes pellucidus,Sphecodes,Halictidae,Halictinae,Halictini
Sphecodes puncticeps,Sphecodes,Halictidae,Halictinae,Halictini
Sphecodes ruficrus,Sphecodes,Halictidae,Halictinae,Halictini
Stelis annulata,Stelis,Megachilidae,Megachilinae,Anthidiini
Stelis breviuscula,Stelis,Megachilidae,Megachilinae,Anthidiini
Stelis minuta,Stelis,Megachilidae,Megachilinae,Anthidiini
Stelis nasuta,Stelis,Megachilidae,Megachilinae,Anthidiini
Stelis ornatula,Stelis,Megachilidae,Megachilinae,Anthidiini
Stelis phaeoptera,Stelis,Megachilidae,Megachilinae,Anthidiini
Stelis punctulatissima,Stelis,Megachilidae,Megachilinae,Anthidiini
Stelis signata,Stelis,Megachilidae,Megachilinae,Anthidiini
Stelis simillima,Stelis,Megachilidae,Megachilinae,Anthidiini
Systropha curvicornis,Systropha,Halictidae,Rophitinae,
Systropha planidens,Systropha,Halictidae,Rophitinae,
Tetralonia malvae,Tetralonia,Apidae,Eucerinae,Eucerini
Tetraloniella alticincta,Tetraloniella,Apidae,Eucerinae,Eucerini
Tetraloniella dentata,Tetraloniella,Apidae,Eucerinae,Eucerini
Tetraloniella fulvescens,Tetraloniella,Apidae,Eucerinae,Eucerini
Tetraloniella graja,Tetraloniella,Apidae,Eucerinae,Eucerini
Tetraloniella inulae,Tetraloniella,Apidae,Eucerinae,Eucerini
Tetraloniella nana,Tetraloniella,Apidae,Eucerinae,Eucerini
Tetraloniella pollinosa,Tetraloniella,Apidae,Eucerinae,Eucerini
Tetraloniella salicariae,Tetraloniella,Apidae,Eucerinae,Eucerini
Tetraloniella strigata,Tetraloniella,Apidae,Eucerinae,Eucerini
Thyreus histrionicus,Thyreus,Apidae,Nomadinae,Melectini
Thyreus orbatus,Thyreus,Apidae,Nomadinae,Melectini
Thyreus ramosus,Thyreus,Apidae,Nomadinae,Melectini
Thyreus truncatus,Thyreus,Apidae,Nomadinae,Melectini
Trachusa byssina,Trachusa,Megachilidae,Megachilinae,Anthidiini
Trachusa integra,Trachusa,Megachilidae,Megachilinae,Anthidiini
Trachusa interrupta,Trachusa,Megachilidae,Megachilinae,Anthidiini
Trachusa laeviventris,Trachusa,Megachilidae,Megachilinae,Anthidiini
Triepeolus tristis,Triepeolus,Apidae,Nomadinae,Epeolini
Vestitohalictus pollinosus,Vestitohalictus,Halictidae,Halictinae,Halictini
Vestitohalictus vestitus,Vestitohalictus,Halictidae,Halictinae,Halictini
Xylocopa cantabrita,Xylocopa,Apidae,Xylocopinae,Xylocopini
Xylocopa iris,Xylocopa,Apidae,Xylocopinae,Xylocopini
Xylocopa valga,Xylocopa,Apidae,Xylocopinae,Xylocopini
Xylocopa violacea,Xylocopa,Apidae,Xylocopinae,Xylocopini
